date,borough,collision_count,MINOR,MODERATE,SEVERE
2026-05-12,BRONX,34,16,16,2
2026-05-12,BROOKLYN,60,18,40,2
2026-05-12,MANHATTAN,36,22,14,0
2026-05-12,QUEENS,55,29,25,1
2026-05-12,STATEN ISLAND,3,3,0,0
2026-05-13,BRONX,30,18,10,2
2026-05-13,BROOKLYN,45,25,19,1
2026-05-13,MANHATTAN,45,29,16,0
2026-05-13,QUEENS,43,19,23,1
2026-05-13,STATEN ISLAND,6,4,2,0
2026-05-14,BRONX,20,7,12,1
2026-05-14,BROOKLYN,63,33,28,2
2026-05-14,MANHATTAN,42,21,20,1
2026-05-14,QUEENS,35,23,9,3
2026-05-14,STATEN ISLAND,5,1,4,0
2026-05-15,BRONX,33,19,11,3
2026-05-15,BROOKLYN,65,33,30,2
2026-05-15,MANHATTAN,44,26,17,1
2026-05-15,QUEENS,37,21,15,1
2026-05-15,STATEN ISLAND,8,3,5,0
2026-05-16,BRONX,45,31,13,1
2026-05-16,BROOKLYN,65,37,25,3
2026-05-16,MANHATTAN,33,18,14,1
2026-05-16,QUEENS,52,29,22,1
2026-05-16,STATEN ISLAND,7,1,6,0
2026-05-17,BRONX,31,18,13,0
2026-05-17,BROOKLYN,69,34,33,2
2026-05-17,MANHATTAN,32,20,12,0
2026-05-17,QUEENS,43,28,15,0
2026-05-17,STATEN ISLAND,8,5,3,0
2026-05-18,BRONX,30,20,10,0
2026-05-18,BROOKLYN,70,36,31,3
2026-05-18,MANHATTAN,38,25,13,0
2026-05-18,QUEENS,40,19,21,0
2026-05-18,STATEN ISLAND,8,4,4,0
2026-05-19,BRONX,41,16,22,3
2026-05-19,BROOKLYN,83,40,41,2
2026-05-19,MANHATTAN,36,18,18,0
2026-05-19,QUEENS,51,22,29,0
2026-05-19,STATEN ISLAND,8,5,3,0
2026-05-20,BRONX,31,13,17,1
2026-05-20,BROOKLYN,75,43,27,5
2026-05-20,MANHATTAN,49,25,23,1
2026-05-20,QUEENS,55,27,27,1
2026-05-20,STATEN ISLAND,6,3,3,0
2026-05-21,BRONX,29,16,13,0
2026-05-21,BROOKLYN,69,42,24,3
2026-05-21,MANHATTAN,35,17,18,0
2026-05-21,QUEENS,45,18,27,0
2026-05-21,STATEN ISLAND,6,4,2,0
2026-05-22,BRONX,27,17,9,1
2026-05-22,BROOKLYN,76,34,38,4
2026-05-22,MANHATTAN,42,24,17,1
2026-05-22,QUEENS,38,23,15,0
2026-05-22,STATEN ISLAND,11,6,5,0
2026-05-23,BRONX,20,13,7,0
2026-05-23,BROOKLYN,58,30,27,1
2026-05-23,MANHATTAN,30,17,12,1
2026-05-23,QUEENS,35,25,10,0
2026-05-23,STATEN ISLAND,3,2,1,0
2026-05-24,BRONX,20,14,3,3
2026-05-24,BROOKLYN,49,35,12,2
2026-05-24,MANHATTAN,28,13,14,1
2026-05-24,QUEENS,47,29,17,1
2026-05-24,STATEN ISLAND,4,3,1,0
