borough,datetime,temperature_2m,precipitation,visibility,rain,showers,snowfall,wind_speed_10m,date,hour_nyc,day_of_week,is_weekend,is_rush_hour,is_night,month,season,weather_category,weather_severity
MANHATTAN,2026-01-22 05:00:00+00:00,2.67,0.0,45100.0,0.0,0.0,0.0,17.294992,2026-01-22,5,Thursday,False,False,True,1,WINTER,CLEAR,LIGHT
MANHATTAN,2026-01-22 06:00:00+00:00,2.77,0.0,46000.0,0.0,0.0,0.0,14.417988,2026-01-22,6,Thursday,False,False,False,1,WINTER,CLEAR,LIGHT
MANHATTAN,2026-01-22 07:00:00+00:00,2.37,0.0,39900.0,0.0,0.0,0.0,11.165805,2026-01-22,7,Thursday,False,True,False,1,WINTER,CLEAR,LIGHT
MANHATTAN,2026-01-22 08:00:00+00:00,2.9699998,0.0,41200.0,0.0,0.0,0.0,5.3999996,2026-01-22,8,Thursday,False,True,False,1,WINTER,CLEAR,LIGHT
MANHATTAN,2026-01-22 09:00:00+00:00,2.77,0.0,43900.0,0.0,0.0,0.0,5.7599998,2026-01-22,9,Thursday,False,True,False,1,WINTER,CLEAR,LIGHT
MANHATTAN,2026-01-22 10:00:00+00:00,2.27,0.0,39900.0,0.0,0.0,0.0,8.161764,2026-01-22,10,Thursday,False,False,False,1,WINTER,CLEAR,LIGHT
MANHATTAN,2026-01-22 11:00:00+00:00,2.0700002,0.0,39200.0,0.0,0.0,0.0,8.435069,2026-01-22,11,Thursday,False,False,False,1,WINTER,CLEAR,LIGHT
MANHATTAN,2026-01-22 12:00:00+00:00,2.12,0.0,41000.0,0.0,0.0,0.0,12.599998,2026-01-22,12,Thursday,False,False,False,1,WINTER,CLEAR,LIGHT
MANHATTAN,2026-01-22 13:00:00+00:00,1.9699999,0.0,34700.0,0.0,0.0,0.0,5.904439,2026-01-22,13,Thursday,False,False,False,1,WINTER,CLEAR,LIGHT
MANHATTAN,2026-01-22 14:00:00+00:00,3.9699998,0.0,40400.0,0.0,0.0,0.0,11.200571,2026-01-22,14,Thursday,False,False,False,1,WINTER,CLEAR,LIGHT
MANHATTAN,2026-01-22 15:00:00+00:00,5.97,0.0,44800.0,0.0,0.0,0.0,13.53236,2026-01-22,15,Thursday,False,False,False,1,WINTER,CLEAR,LIGHT
MANHATTAN,2026-01-22 16:00:00+00:00,7.17,0.0,45700.0,0.0,0.0,0.0,18.374111,2026-01-22,16,Thursday,False,True,False,1,WINTER,CLEAR,LIGHT
MANHATTAN,2026-01-22 17:00:00+00:00,8.32,0.0,53200.0,0.0,0.0,0.0,23.871555,2026-01-22,17,Thursday,False,True,False,1,WINTER,CLEAR,LIGHT
MANHATTAN,2026-01-22 18:00:00+00:00,8.67,0.0,53100.0,0.0,0.0,0.0,28.66468,2026-01-22,18,Thursday,False,True,False,1,WINTER,CLEAR,LIGHT
MANHATTAN,2026-01-22 19:00:00+00:00,9.32,0.0,62300.0,0.0,0.0,0.0,29.215502,2026-01-22,19,Thursday,False,False,False,1,WINTER,CLEAR,LIGHT
MANHATTAN,2026-01-22 20:00:00+00:00,9.07,0.0,61100.0,0.0,0.0,0.0,28.01531,2026-01-22,20,Thursday,False,False,True,1,WINTER,CLEAR,LIGHT
MANHATTAN,2026-01-22 21:00:00+00:00,8.62,0.0,61300.0,0.0,0.0,0.0,24.967497,2026-01-22,21,Thursday,False,False,True,1,WINTER,CLEAR,LIGHT
MANHATTAN,2026-01-22 22:00:00+00:00,7.62,0.0,60200.0,0.0,0.0,0.0,15.077082,2026-01-22,22,Thursday,False,False,True,1,WINTER,CLEAR,LIGHT
MANHATTAN,2026-01-22 23:00:00+00:00,6.47,0.0,55800.0,0.0,0.0,0.0,10.182337,2026-01-22,23,Thursday,False,False,True,1,WINTER,CLEAR,LIGHT
MANHATTAN,2026-01-23 00:00:00+00:00,6.12,0.0,50400.0,0.0,0.0,0.0,11.212135,2026-01-23,0,Friday,False,False,True,1,WINTER,CLEAR,LIGHT
MANHATTAN,2026-01-23 01:00:00+00:00,5.67,0.0,73400.0,0.0,0.0,0.0,11.298495,2026-01-23,1,Friday,False,False,True,1,WINTER,CLEAR,LIGHT
MANHATTAN,2026-01-23 02:00:00+00:00,5.37,0.0,80000.0,0.0,0.0,0.0,17.58481,2026-01-23,2,Friday,False,False,True,1,WINTER,CLEAR,LIGHT
MANHATTAN,2026-01-23 03:00:00+00:00,4.87,0.0,78800.0,0.0,0.0,0.0,15.034041,2026-01-23,3,Friday,False,False,True,1,WINTER,CLEAR,LIGHT
